<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20230831,000000,96.0189000,96.7750000,94.0000000,95.8690000,8145
USDRUB,D,20230901,000000,95.8659000,96.6750000,95.0000000,96.4187000,9617
USDRUB,D,20230903,000000,95.3850000,95.3850000,95.3850000,95.3850000,5
USDRUB,D,20230904,000000,96.4185000,97.0554000,95.2500000,96.8510000,7471
USDRUB,D,20230905,000000,97.2777000,98.0612000,95.2300000,96.7400000,10471
USDRUB,D,20230906,000000,96.7600000,98.4760000,96.6300000,98.3957000,8315
USDRUB,D,20230907,000000,98.6282000,98.6282000,96.4500000,98.4928000,7284
USDRUB,D,20230908,000000,98.4841000,98.5500000,96.6500000,96.7500000,7590
USDRUB,D,20230910,000000,97.9020000,97.9020000,97.9020000,97.9020000,2
USDRUB,D,20230911,000000,98.1523000,98.2159000,94.3300000,94.3300000,7974
USDRUB,D,20230912,000000,95.3785000,96.0076000,92.8320000,95.9489000,9655
USDRUB,D,20230913,000000,95.9609000,97.1500000,92.9800000,95.2130000,12539
USDRUB,D,20230914,000000,96.2666000,97.0330000,94.6488000,96.2692000,10613
USDRUB,D,20230915,000000,95.5000000,97.2260000,94.7750000,95.7800000,8378
USDRUB,D,20230917,000000,96.7260000,96.7260000,96.7260000,96.7260000,1
USDRUB,D,20230918,000000,96.8800000,97.5079000,94.9500000,95.9449000,8678
USDRUB,D,20230919,000000,95.9375000,97.7388000,94.7000000,97.4954000,722
USDRUB,D,20230920,000000,96.8540000,97.5562000,94.9250000,96.0181000,8338
USDRUB,D,20230921,000000,96.0950000,96.7260000,94.5750000,95.0800000,7995
USDRUB,D,20230922,000000,96.4269000,96.4269000,94.6000000,95.2800000,8815
USDRUB,D,20230924,000000,94.6300000,94.6300000,94.6300000,94.6300000,4
USDRUB,D,20230925,000000,95.2800000,96.5070000,94.7500000,95.8432000,11879
USDRUB,D,20230926,000000,95.8554000,97.7136000,94.2000000,96.5760000,8703
USDRUB,D,20230927,000000,96.5760000,97.1046000,95.1000000,97.0718000,8412
USDRUB,D,20230928,000000,97.0709000,97.3815000,95.2000000,96.6536000,5413
USDRUB,D,20230929,000000,96.6515000,97.9900000,95.6100000,96.4802000,8671
USDRUB,D,20231001,000000,96.4760000,96.4760000,96.4760000,96.4760000,2
USDRUB,D,20231002,000000,96.4760000,99.5986000,96.4760000,99.2399000,8524
USDRUB,D,20231003,000000,99.2933000,100.2750000,98.0500000,100.0985000,2514
USDRUB,D,20231004,000000,100.0617000,100.3685000,98.1580000,100.3320000,8195
USDRUB,D,20231005,000000,100.1761000,100.2801000,98.3600000,100.1320000,9114
USDRUB,D,20231006,000000,100.1258000,101.9250000,97.0000000,100.9920000,8447
USDRUB,D,20231008,000000,99.9800000,99.9800000,99.9800000,99.9800000,4
USDRUB,D,20231009,000000,99.9800000,102.5500000,98.2500000,98.2500000,9176
USDRUB,D,20231010,000000,99.7088000,100.7931000,95.5443000,95.5468000,3483
USDRUB,D,20231011,000000,95.5451000,100.6680000,95.5027000,99.4800000,8746
USDRUB,D,20231012,000000,99.4800000,100.2615000,95.7000000,97.7232000,5244
USDRUB,D,20231013,000000,97.7166000,97.8870000,95.9200000,97.7051000,8515
USDRUB,D,20231015,000000,97.5250000,97.5250000,97.5250000,97.5250000,4
USDRUB,D,20231016,000000,97.5660000,98.0760000,96.2250000,97.3483000,9090
USDRUB,D,20231017,000000,97.3507000,98.2009990,96.2750000,98.0010000,6983
USDRUB,D,20231018,000000,98.1492000,98.1520000,96.2200000,97.4510000,7417
USDRUB,D,20231019,000000,97.4510000,98.1210000,95.8000000,96.8436000,12058
USDRUB,D,20231020,000000,96.5532000,97.0152000,94.4000000,95.4391000,9304
USDRUB,D,20231022,000000,95.6750000,95.6750000,95.6750000,95.6750000,2
USDRUB,D,20231023,000000,95.6750000,95.8788000,93.2750000,94.4922000,9445
USDRUB,D,20231024,000000,93.6754000,94.5034000,92.4650000,93.4510000,9399
USDRUB,D,20231025,000000,93.4557000,94.3307000,91.9430000,93.3510000,1123
USDRUB,D,20231026,000000,94.0693000,94.2281000,92.4750000,93.6260000,7552
USDRUB,D,20231027,000000,93.6962000,94.8000000,91.3050000,94.1750000,9727
USDRUB,D,20231029,000000,93.9500000,94.4250000,93.9500000,94.4250000,3
USDRUB,D,20231030,000000,94.4250000,94.4250000,91.5500000,92.5250000,6727
USDRUB,D,20231031,000000,92.5000000,93.7000000,91.0250000,93.3179000,8377
USDRUB,D,20231101,000000,93.3047000,93.7150000,91.5880000,92.5500000,5041
USDRUB,D,20231102,000000,92.5500000,94.1025000,92.0000000,94.0010000,8200
USDRUB,D,20231103,000000,94.0010000,94.0010000,91.3250000,92.8202000,1180
USDRUB,D,20231105,000000,90.8500000,91.7040000,90.8500000,91.7040000,8
USDRUB,D,20231106,000000,91.7040000,92.8354000,91.0000000,92.6088000,6260
USDRUB,D,20231107,000000,93.0787000,93.0787000,91.0300000,92.1005000,9067
USDRUB,D,20231108,000000,92.1054000,92.7046000,90.8500000,91.8220000,5084
USDRUB,D,20231109,000000,91.8293000,92.3559000,90.6750000,91.6790000,5950
USDRUB,D,20231110,000000,91.6967000,92.3449000,91.1000000,92.2510000,7787
USDRUB,D,20231112,000000,92.2510000,92.2510000,92.2510000,92.2510000,9
USDRUB,D,20231113,000000,92.2510000,92.4180000,90.4000000,91.9044000,7804
USDRUB,D,20231114,000000,91.4910000,91.8530000,89.7000000,90.4700000,7977
