<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCAD,D,20231008,000000,1.3661000,1.3679300,1.3653900,1.3661700,95899
USDCAD,D,20231009,000000,1.3661700,1.3676300,1.3575000,1.3580700,1343786
USDCAD,D,20231010,000000,1.3580300,1.3617100,1.3565000,1.3583900,1605135
USDCAD,D,20231011,000000,1.3583400,1.3623600,1.3568000,1.3596000,1456590
USDCAD,D,20231012,000000,1.3595500,1.3700400,1.3574000,1.3684200,1475105
USDCAD,D,20231013,000000,1.3684200,1.3689000,1.3633000,1.3655000,1487776
USDCAD,D,20231015,000000,1.3657000,1.3667000,1.3639000,1.3642800,51739
USDCAD,D,20231016,000000,1.3642600,1.3655500,1.3602000,1.3615100,1274422
USDCAD,D,20231017,000000,1.3614900,1.3702800,1.3605000,1.3651400,1395633
USDCAD,D,20231018,000000,1.3652300,1.3716600,1.3613000,1.3713700,1438778
USDCAD,D,20231019,000000,1.3713200,1.3741000,1.3676000,1.3714900,1648237
USDCAD,D,20231020,000000,1.3715400,1.3734000,1.3666000,1.3709100,1369226
USDCAD,D,20231022,000000,1.3716000,1.3718400,1.3685000,1.3705100,44417
USDCAD,D,20231023,000000,1.3705400,1.3736400,1.3663000,1.3689000,1333544
USDCAD,D,20231024,000000,1.3688400,1.3754500,1.3656000,1.3741300,1331135
USDCAD,D,20231025,000000,1.3741500,1.3809900,1.3726000,1.3802000,1366960
USDCAD,D,20231026,000000,1.3802600,1.3844000,1.3785000,1.3816000,1493965
USDCAD,D,20231027,000000,1.3816300,1.3880700,1.3792000,1.3870100,1308811
USDCAD,D,20231029,000000,1.3869000,1.3875000,1.3853000,1.3863000,48689
USDCAD,D,20231030,000000,1.3863000,1.3866900,1.3810000,1.3829600,1207164
USDCAD,D,20231031,000000,1.3830000,1.3892200,1.3809000,1.3877800,1311028
USDCAD,D,20231101,000000,1.3877800,1.3899000,1.3830000,1.3834400,1463436
USDCAD,D,20231102,000000,1.3834600,1.3852000,1.3732000,1.3745000,1187332
USDCAD,D,20231103,000000,1.3747000,1.3760300,1.3649000,1.3659000,1221423
USDCAD,D,20231105,000000,1.3659000,1.3670000,1.3650000,1.3660400,25761
USDCAD,D,20231106,000000,1.3660400,1.3702700,1.3625000,1.3696700,1106395
USDCAD,D,20231107,000000,1.3696700,1.3782600,1.3690000,1.3768600,1194996
USDCAD,D,20231108,000000,1.3768100,1.3814600,1.3750000,1.3790500,1210679
USDCAD,D,20231109,000000,1.3790200,1.3816100,1.3742000,1.3809000,1320731
USDCAD,D,20231110,000000,1.3808000,1.3854700,1.3787000,1.3797000,1116195
USDCAD,D,20231112,000000,1.3799000,1.3804000,1.3784200,1.3797400,30065
USDCAD,D,20231113,000000,1.3796800,1.3831600,1.3773000,1.3800800,1228136
USDCAD,D,20231114,000000,1.3800500,1.3843300,1.3755000,1.3758400,717484
