<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,D,20231005,000000,148.9780000,149.1180000,148.2490000,148.4690000,1802115
USDJPY,D,20231006,000000,148.4700000,149.5390000,148.4540000,149.2740000,1733190
USDJPY,D,20231008,000000,149.0460000,149.2410000,148.9700000,149.1490000,135246
USDJPY,D,20231009,000000,149.1510000,149.2240000,148.2820000,148.3230000,1277848
USDJPY,D,20231010,000000,148.3300000,149.0970000,148.1520000,148.6200000,1668381
USDJPY,D,20231011,000000,148.6240000,149.3240000,148.4140000,149.0340000,1661294
USDJPY,D,20231012,000000,149.0340000,149.8290000,148.9450000,149.7880000,1649237
USDJPY,D,20231013,000000,149.7850000,149.8290000,149.4440000,149.5150000,1459463
USDJPY,D,20231015,000000,149.4560000,149.6320000,149.3060000,149.5570000,87653
USDJPY,D,20231016,000000,149.5620000,149.7640000,149.3630000,149.5790000,1261023
USDJPY,D,20231017,000000,149.5690000,149.8510000,148.6630000,149.7540000,1398223
USDJPY,D,20231018,000000,149.7520000,149.9380000,149.4720000,149.7700000,1330414
USDJPY,D,20231019,000000,149.7690000,149.9660000,149.6550000,149.8040000,1540551
USDJPY,D,20231020,000000,149.8040000,149.9930000,149.6030000,149.8310000,1265370
USDJPY,D,20231022,000000,149.7590000,150.0660000,149.7150000,149.8870000,63479
USDJPY,D,20231023,000000,149.8840000,149.9910000,149.5450000,149.7780000,1147426
USDJPY,D,20231024,000000,149.7730000,149.9290000,149.3110000,149.8580000,1321562
USDJPY,D,20231025,000000,149.8470000,150.3180000,149.7850000,150.0920000,1169482
USDJPY,D,20231026,000000,150.0930000,150.7780000,149.8000000,150.3640000,1534546
USDJPY,D,20231027,000000,150.3610000,150.4120000,149.4510000,149.5990000,1259614
USDJPY,D,20231029,000000,149.5590000,149.7730000,149.4270000,149.7270000,67142
USDJPY,D,20231030,000000,149.7360000,149.8550000,148.7940000,149.0930000,1269189
USDJPY,D,20231031,000000,149.0970000,151.7270000,149.0790000,151.3190000,1865536
USDJPY,D,20231101,000000,151.3190000,151.4440000,150.5560000,150.5730000,1534070
USDJPY,D,20231102,000000,150.5630000,150.5990000,149.8350000,150.4900000,1406230
USDJPY,D,20231103,000000,150.4940000,150.5000000,149.1540000,149.3330000,1321544
USDJPY,D,20231105,000000,149.2410000,149.4800000,149.2180000,149.4540000,36507
USDJPY,D,20231106,000000,149.4530000,150.0830000,149.3660000,149.9770000,1161676
USDJPY,D,20231107,000000,149.9770000,150.6910000,149.9520000,150.3930000,1170213
USDJPY,D,20231108,000000,150.3940000,151.0570000,150.3410000,150.8440000,1226889
USDJPY,D,20231109,000000,150.8500000,151.3890000,150.7610000,151.3370000,1366238
USDJPY,D,20231110,000000,151.3420000,151.6040000,151.2130000,151.4720000,1084776
USDJPY,D,20231112,000000,151.4460000,151.5120000,151.3210000,151.4510000,36540
USDJPY,D,20231113,000000,151.4590000,151.9080000,151.1800000,151.6390000,1287932
USDJPY,D,20231114,000000,151.6490000,151.7850000,150.7600000,150.8410000,852872
